timestamp,OSCaddress,typetag,timetag,,,
680,/motion/s1/aa,iii,8124,-16964,-3984,
680,/motion/s1/ypr,fff,200.5163,154.41125,264.8524,
684,/motion/s1/quat,ffff,-0.4022827,0.13970947,0.7219238,-0.54541016
684,/motion/s1/aaWorld,iii,1874,1330,8628,
684,/motion/s1/aaReal,iii,3354,-7722,-2975,
684,/motion/s1/aa,iii,6864,-15094,-3642,
684,/motion/s1/ypr,fff,200.40706,154.63148,264.83206,
700,/motion/s1/quat,ffff,-0.39733887,0.13635254,0.72265625,-0.54888916
700,/motion/s1/aaWorld,iii,1810,1810,7603,
700,/motion/s1/aaReal,iii,3203,-6637,-3172,
700,/motion/s1/aa,iii,6682,-14024,-3842,
700,/motion/s1/ypr,fff,200.28159,154.87453,264.8247,
705,/motion/s1/quat,ffff,-0.3925171,0.1328125,0.72332764,-0.5523071
705,/motion/s1/aaWorld,iii,1406,1984,7678,
705,/motion/s1/aaReal,iii,3552,-6572,-3012,
705,/motion/s1/aa,iii,7002,-13972,-3682,
705,/motion/s1/ypr,fff,200.19008,155.09282,264.82983,
715,/motion/s1/quat,ffff,-0.38787842,0.12902832,0.723999,-0.55566406
715,/motion/s1/aaWorld,iii,1106,2186,7500,
715,/motion/s1/aaReal,iii,3751,-6292,-2933,
715,/motion/s1/aa,iii,7178,-13704,-3602,
715,/motion/s1/ypr,fff,200.14384,155.27649,264.84543,
727,/motion/s1/quat,ffff,-0.3831787,0.12512207,0.7246094,-0.55895996
727,/motion/s1/aaWorld,iii,1379,2581,7283,
727,/motion/s1/aaReal,iii,3668,-6052,-3396,
727,/motion/s1/aa,iii,7072,-13474,-4064,
728,/motion/s1/ypr,fff,200.10042,155.45277,264.86243,
733,/motion/s1/quat,ffff,-0.37823486,0.121154785,0.7253418,-0.56225586
733,/motion/s1/aaWorld,iii,1523,2770,6910,
733,/motion/s1/aaReal,iii,3473,-5713,-3613,
733,/motion/s1/aa,iii,6852,-13146,-4282,
733,/motion/s1/ypr,fff,200.0316,155.64038,264.86047,
745,/motion/s1/quat,ffff,-0.37316895,0.11706543,0.7261963,-0.5654297
745,/motion/s1/aaWorld,iii,1504,2893,6497,
745,/motion/s1/aaReal,iii,3330,-5318,-3671,
745,/motion/s1/aa,iii,6686,-12762,-4344,
745,/motion/s1/ypr,fff,199.95273,155.82088,264.83685,
753,/motion/s1/quat,ffff,-0.36791992,0.11273193,0.7270508,-0.5686035
753,/motion/s1/aaWorld,iii,1709,3193,6480,
753,/motion/s1/aaReal,iii,3293,-5283,-4045,
753,/motion/s1/aa,iii,6626,-12736,-4722,
753,/motion/s1/ypr,fff,199.87743,155.9961,264.8099,
771,/motion/s1/quat,ffff,-0.3624878,0.1081543,0.7280884,-0.5717163
771,/motion/s1/aaWorld,iii,1189,3148,6657,
771,/motion/s1/aaReal,iii,3642,-5353,-3705,
771,/motion/s1/aa,iii,6954,-12816,-4390,
771,/motion/s1/ypr,fff,199.80008,156.16199,264.75934,
773,/motion/s1/quat,ffff,-0.3569336,0.103149414,0.7290039,-0.57489014
773,/motion/s1/aaWorld,iii,1010,3376,6584,
773,/motion/s1/aaReal,iii,3808,-5194,-3782,
773,/motion/s1/aa,iii,7100,-12664,-4472,
773,/motion/s1/ypr,fff,199.7563,156.3081,264.72504,
793,/motion/s1/quat,ffff,-0.35125732,0.098083496,0.7298584,-0.57818604
